,filepath,qpm,time_sign_num,time_sign_den,measure_no,no_accs,mode,key_area,type,note_name,tpc,step,acc,octave,pitch,pitch_class,duration,onset,onset_seconds
0,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,1,,,,rest,,,,,,,,1.0,0.0,0.0
217,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,1,3.0,major,16.0,rest,,,,,,,,0.25,0.0,0.0
218,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,1,3.0,major,16.0,note,C#2,C#,C,1.0,2,37.0,1.0,0.25,0.25,0.5
219,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,1,3.0,major,16.0,note,F2,F,F,0.0,2,41.0,5.0,0.375,0.5,1.0
220,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,1,3.0,major,16.0,note,A2,A,A,0.0,2,45.0,9.0,0.125,0.875,1.75
1,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,2,,,,rest,,,,,,,,1.0,1.0,2.0
221,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,2,3.0,major,16.0,note,A2,A,A,0.0,2,45.0,9.0,0.5,1.0,2.0
222,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,2,3.0,major,16.0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.25,1.5,3.0
223,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,2,3.0,major,16.0,rest,,,,,,,,0.25,1.75,3.5
2,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,3,,,,rest,,,,,,,,1.0,2.0,4.0
224,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,3,3.0,major,16.0,rest,,,,,,,,0.25,2.0,4.0
225,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,3,3.0,major,16.0,note,Bb2,Bb,B,-1.0,2,46.0,10.0,0.25,2.25,4.5
226,data/Liszt_S202_Am_Grabe_R.xml,120,4,4,3,3.0,major,16.0,note,C#3,C#,C,1.0,3,49.0,1.0,0.375,2.5,5.0
